root_id,flow,super_class,class,sub_class,cell_type,hemibrain_type,hemilineage,side,nerve
720575940630759755,intrinsic,central,,,CB1092,,LB3,left,
720575940632934751,efferent,descending,,,DNge094,,LB7,right,CV
720575940635859354,intrinsic,central,,,,IB008,putative_primary,left,
720575940623371920,afferent,ascending,AN,AN_GNG,AN_GNG_186,,,right,CV
720575940622835947,intrinsic,central,,,CB1120,,TRdl_b,right,
720575940638720233,intrinsic,visual_centrifugal,,,OA-AL2i2,hb-1535212969,putative_primary,right,
720575940626717573,intrinsic,central,,,,LAL126,putative_primary,left,
720575940632963042,intrinsic,central,,,CB1291,,MX7,right,
720575940630620044,afferent,sensory,mechanosensory,eye_bristle,BM_InOm,,,left,MxLbN
720575940613726406,afferent,ascending,AN,SA_DMT_DMetaN,,,,right,CV
720575940612579053,afferent,sensory,gustatory,sugar/water,LB3,,,left,MxLbN
720575940628797608,afferent,ascending,AN,AN_GNG,AN_GNG_199,,,right,CV
720575940639059875,intrinsic,central,,,,"WED102,WED103",DM1_antero_ventral,left,
720575940618202539,afferent,ascending,AN,,,,,right,CV
720575940637569870,intrinsic,central,,,,AVLP299_b,VLPa1_lateral,right,
720575940607695428,afferent,ascending,AN,SA_DMT_DMetaN,,,,right,CV
720575940640205501,intrinsic,central,,,,PS019,AOTUv1_ventral,left,
720575940630778050,intrinsic,visual_projection,,,MTe19,hb-1746373639,,right,
720575940621347092,intrinsic,central,,,,"CL121,CL122",PSa1,right,
720575940626271260,intrinsic,central,,,CB3371,,MD3,left,
720575940624767434,intrinsic,central,,,CB1427,,MD3,left,
720575940606683266,afferent,sensory,mechanosensory,eye_bristle,BM_InOm,,,right,MxLbN
720575940627443996,intrinsic,central,,,CB0907,,,right,
720575940655013281,intrinsic,central,,,CB0292,,LB7__prim,left,
720575940616907678,intrinsic,central,,,,VES023,PSa1,left,
720575940621422518,intrinsic,central,,,CB0460,,MX3,right,
720575940620134638,intrinsic,central,,,,SMP482,SMPpv1,left,
720575940631882271,intrinsic,central,,,CB1978,,MD3,right,
720575940632889389,afferent,sensory,gustatory,sugar/water,LB3,,,left,MxLbN
720575940622853011,afferent,sensory,gustatory,low-salt,LB2,,,right,MxLbN
720575940634038041,afferent,ascending,AN,AN_GNG_IPS,AN_GNG_IPS_11,,,right,CV
720575940611343853,afferent,sensory,mechanosensory,head_bristle,BM_MaPa,,,left,MxLbN
720575940614046098,intrinsic,central,,,CB1265,,MX3,right,
720575940614004143,afferent,ascending,AN,AN_GNG,AN_GNG_85,,,right,CV
720575940623387430,afferent,ascending,AN,AN_GNG_IPS,AN_GNG_IPS_20,,,right,CV
720575940632134227,intrinsic,central,,,CB3813,,putative_primary,left,
720575940632386131,intrinsic,central,,,,AVLP287,VLPa1_lateral,right,
720575940614808844,afferent,sensory,mechanosensory,head_bristle,BM_Taste,,,left,MxLbN
720575940634290913,intrinsic,visual_centrifugal,,,cL09,,MX3,left,
720575940615634589,afferent,ascending,AN,SA_DMT_ADMN,SA_DMT_ADMN_11,,,right,CV
720575940615495867,efferent,descending,,,DNge091,,LB7,right,CV
720575940624623287,intrinsic,central,,,CB0847,,putative_primary,left,
720575940632936332,intrinsic,central,,,CB0561,,MX7__prim,left,
720575940639432782,intrinsic,central,,,CB0690,hb-5813078104,putative_primary,left,
720575940625344304,intrinsic,central,,,CB1087,,VESa2,left,
720575940622397075,afferent,sensory,mechanosensory,head_bristle,BM_vOcci_vPoOr,,,left,MxLbN
720575940632826691,intrinsic,central,,,,AVLP099,VLPl&p2_lateral,left,
720575940633839979,intrinsic,central,,,CB1086,,VESa2,left,
720575940617716566,afferent,ascending,AN,AN_GNG_AMMC,AN_GNG_AMMC_2,,,left,CV
720575940618838875,intrinsic,central,,,CB2957,,WEDa2,left,
720575940624524215,intrinsic,central,,,,AVLP097,VLPl1_or_VLPl5,left,
720575940611557017,intrinsic,central,,,PS117a,PS117,DM1_antero_ventral,right,
720575940631498563,efferent,descending,,,,DNa08,WEDd1,left,CV
720575940618876830,efferent,descending,,,DNg110_a,,LB12,right,CV
720575940620632369,efferent,descending,,,DNg18_b,,LB6,left,CV
720575940627372184,afferent,sensory,mechanosensory,,JO-F,,,right,AN
720575940630176815,intrinsic,central,,,,WED056,WEDa1,right,
720575940619058334,intrinsic,central,,,CB0850,,putative_primary,right,
720575940632107940,afferent,sensory,mechanosensory,eye_bristle,BM_InOm,,,right,MxLbN
720575940637187550,intrinsic,central,,,CB1891,,VESa2,right,
720575940624530372,intrinsic,central,,,CB1199,,TRdl_b,left,
720575940628635751,afferent,ascending,AN,AN_AVLP_GNG,AN_AVLP_GNG_18,,,right,CV
720575940618846228,intrinsic,central,,,CB2526,,TRdl_b,left,
720575940617658997,intrinsic,central,,,CB2237,,,left,
720575940628972048,intrinsic,central,,,CB0542,,putative_primary,left,
720575940614965691,intrinsic,central,,,CB0722,,putative_primary,left,
720575940620556680,afferent,sensory,mechanosensory,head_bristle,BM_Ant,,,right,AN
720575940626741379,intrinsic,central,,,CB0128,,SMPpv2_dorsal,left,
720575940611081586,intrinsic,central,,,CB2751,,LB3,left,
720575940615706018,afferent,ascending,AN,AN_GNG_FLA,AN_GNG_AVLP_1,,,right,CV
720575940660914561,intrinsic,central,ALON,,ALON1,,putative_primary,right,
720575940630603091,intrinsic,central,,,CB1542,,ALl1_ventral,left,
720575940627565059,intrinsic,central,,,CB2415,,LB19,right,
720575940627925564,afferent,ascending,AN,AN_IPS_GNG,AN_IPS_GNG_6,,,right,CV
720575940627523584,afferent,sensory,mechanosensory,,JO-FDA,,,left,AN
720575940625063694,afferent,ascending,AN,AN_GNG_SPS,AN_GNG_SPS_1,,,right,CV
720575940613171454,afferent,ascending,AN,AN_SPS_IPS,AN_SPS_IPS_2,,,right,CV
720575940637881432,intrinsic,central,,,CB2382,,DM6_central1,left,
720575940635632888,afferent,ascending,AN,AN_GNG,AN_GNG_76,,,right,CV
720575940620332385,intrinsic,central,,,,PS248,DM6_central1,left,
720575940629782072,efferent,descending,,,DNpe012,DNp16,PSp2,left,CV
720575940602703072,afferent,ascending,AN,AN_FLA_GNG,AN_FLA_GNG_2,,,right,CV
720575940625579722,afferent,sensory,mechanosensory,eye_bristle,BM_InOm,,,right,MxLbN
720575940623178995,afferent,sensory,mechanosensory,eye_bristle,BM_InOm,,,left,MxLbN
720575940610863310,efferent,descending,,,DNg02_a,,LB12,right,CV
720575940608999492,afferent,sensory,mechanosensory,eye_bristle,BM_InOm,,,right,MxLbN
720575940618492245,afferent,sensory,mechanosensory,eye_bristle,BM_InOm,,,left,MxLbN
720575940627514567,intrinsic,central,,,VES063a,VES063,VLPp&l1_posterior,left,
720575940632387484,intrinsic,central,,,CB2474,,LB3,right,
720575940618746533,afferent,sensory,mechanosensory,eye_bristle,BM_InOm,,,left,MxLbN
720575940629692155,intrinsic,central,,,,PS209,VLPp2,right,
720575940617493597,intrinsic,central,,,CB0364,,TRdm,left,
720575940615089369,afferent,sensory,gustatory,low-salt,LB2,,,left,MxLbN
720575940630706572,intrinsic,central,,,CB1937,,LB3,right,
720575940635164779,afferent,ascending,AN,AN_GNG,AN_GNG_158,,,right,CV
720575940641254784,intrinsic,central,,,CB2840,,VLPd1,left,
720575940638223174,intrinsic,central,,,PS117b,PS117,DM1_antero_ventral,right,
720575940610033394,afferent,ascending,AN,,,,,left,CV
720575940614633867,intrinsic,central,,,CB1280,,ALl1_ventral,right,
720575940630665580,intrinsic,central,,,CB0655,hb-734814622,putative_primary,right,
720575940618494032,afferent,sensory,mechanosensory,eye_bristle,BM_InOm,,,left,MxLbN
720575940624133306,intrinsic,central,,,PS241b,PS241,DM4_ventral,right,
720575940620882603,afferent,ascending,AN,AN_IPS_GNG,AN_IPS_GNG_5,,,right,CV
720575940603235500,intrinsic,central,,,CB1122,,VESa1,left,
720575940615044502,intrinsic,central,,,CB3659,,TRdm,right,
720575940616791709,intrinsic,central,,,CB0874,,putative_primary,right,
