root_id,flow,super_class,class,sub_class,cell_type,hemibrain_type,hemilineage,side,nerve
720575940633771033,intrinsic,central,,,,SMP477,DM1_antero_dorsal,left,
720575940620922790,intrinsic,central,DAN,,,PAM05,CREa1_dorsal,right,
720575940626983185,intrinsic,central,,,CB3695,,FLAa3,right,
720575940616747934,intrinsic,central,,,CB1508,,SMPpv1,right,
720575940633716124,intrinsic,central,,,,SMP033,SLPal5,right,
720575940639504768,intrinsic,central,,,CB2706,,DM1_antero_dorsal,left,
720575940622979475,intrinsic,central,Kenyon_Cell,,KCapbp-ap2,KCab-ap2,MBp3,right,
720575940639688611,intrinsic,central,Kenyon_Cell,,KCab,KCab-s,MBp2,right,
720575940613258994,intrinsic,central,,,,SMP164,,right,
720575940622384311,intrinsic,central,,,CB3591,,DM2_central,right,
720575940630250860,intrinsic,central,,,CB3110,,VLPd&p1_posterior,right,
720575940621426300,intrinsic,central,,,,ATL031,putative_primary,left,
720575940610867683,intrinsic,central,,,CB2668,,VLPl&p1_posterior,right,
720575940617749538,intrinsic,central,MBON,,,MBON11,putative_primary,right,
720575940611403493,intrinsic,central,,,CB1393,,SLPad1_posterior,right,
720575940612917105,intrinsic,central,,,CB1831,,DM6_dorso_lateral,right,
720575940634343007,intrinsic,central,CX,columnar,,"FS4A,FS4B,FS4C",DM4_CX_d2,left,
720575940617551906,intrinsic,central,,,CB2524,LHPV5a2,DL2_dorsal,right,
720575940628884854,intrinsic,central,,,CB1781,,LHp2,right,
720575940630373314,intrinsic,central,,,,SMP184,putative_primary,right,
720575940634575796,intrinsic,central,,,,LHPV5e2,DL1_dorsal,right,
720575940654607265,intrinsic,central,,,,LAL198,putative_primary,left,
720575940627514267,intrinsic,central,,,CB3095,,SLPpl1,right,
720575940621789951,intrinsic,central,,,,SLP102,SIPa1_ventral,right,
720575940620134638,intrinsic,central,,,,SMP482,SMPpv1,left,
720575940630592460,intrinsic,central,Kenyon_Cell,,KCab,KCab-m,MBp1,right,
720575940604222944,intrinsic,central,,,CB1262,,SMPp&v1_posterior,right,
720575940620341931,intrinsic,central,DAN,,,PAM07,CREa2_medial,right,
720575940626885245,intrinsic,central,,,,PVLP007,VLPd&p1_dorsal,left,
720575940612760994,intrinsic,central,CX,tangential,CB.FB7E2,"FB7A,FB7K",DL1_dorsal,right,
720575940612894578,intrinsic,central,,,,LHPV6m1,putative_primary,left,
720575940616612313,intrinsic,central,,,,WED089,LHp2,right,
720575940624310468,intrinsic,visual_centrifugal,,,cL14,IB112,putative_primary,left,
720575940629424983,intrinsic,central,,,CB1548,,CLp1_or_SLPpm2,right,
720575940616832027,intrinsic,central,,,,PS008,SMPad2,right,
720575940639432782,intrinsic,central,,,CB0690,hb-5813078104,putative_primary,left,
720575940624661031,intrinsic,central,DAN,,,PAM10,CREa1_dorsal,right,
720575940639688064,intrinsic,central,,,CB2588,,LB5,left,
720575940613606041,intrinsic,central,CX,tangential,CB.FB5E1,FB5Y,DL1_dorsal,right,
720575940633959615,intrinsic,central,,,,"SMP523,SMP524",DM3_dorso_medial,left,
720575940621773406,intrinsic,central,,,CB3257,,AOTUv4_dorsal,left,
720575940614298730,intrinsic,central,CX,tangential,CB.FB6C1,"FB7F,FB8F",SIPp1,right,
720575940605068576,intrinsic,central,,,,SLP405,DM6_dorso_lateral,right,
720575940640008400,intrinsic,central,CX,tangential,CB.FB8B1,FB8C,DM6_dorso_medial,left,
720575940619597989,intrinsic,central,,,,SLP403,putative_primary,left,
720575940634356831,intrinsic,central,,,,SMP189,DL2_dorsal,right,
720575940628838006,intrinsic,central,,,CB3174,,LHp2,left,
720575940616042582,intrinsic,central,,,,AVLP563,SMPpv2_ventral,right,
720575940617812273,intrinsic,central,CX,tangential,CB.FB7E2,"FB7A,FB7K",DL1_dorsal,right,
720575940613593809,intrinsic,central,,,CB3147,,VLPd&p1_posterior,right,
720575940653135350,intrinsic,central,,,,SLP412,CLp1,right,
720575940633291033,intrinsic,central,,,CB3519,,SLPpm3,right,
720575940610637786,intrinsic,central,,,,SMP018,AOTUv3_dorsal,right,
720575940643448264,intrinsic,central,,,,SIP066,SIPp1,left,
720575940623972533,intrinsic,central,,,CB3185,,SLPad1_posterior,right,
720575940633156377,intrinsic,central,,,,ATL032,putative_primary,right,
720575940637672425,intrinsic,central,DAN,,,PAM09,CREa2_medial,right,
720575940632221209,intrinsic,central,,,LAL043c,LAL043,AOTUv1_medial,right,
720575940621225910,intrinsic,central,Kenyon_Cell,,KCab,KCab-s,MBp2,right,
720575940625318163,intrinsic,central,Kenyon_Cell,,KCab,KCab-s,MBp3,right,
720575940614368483,intrinsic,central,,,,SMP568,VLPl&p1_posterior,left,
720575940638430686,intrinsic,central,,,,SMP102,SMPad1,right,
720575940613598105,intrinsic,central,,,,LAL155,putative_primary,left,
720575940613545634,intrinsic,central,,,,CL006,AOTUv4_dorsal,right,
720575940639030973,intrinsic,central,,,CB2943,,SMPad3,right,
720575940633993623,intrinsic,central,,,CB1951,,FLAa2,left,
720575940606432177,intrinsic,central,,,,CL179,SMPp&v1_posterior,right,
720575940621747444,intrinsic,central,,,,WEDPN3,WEDa2,right,
720575940615193787,intrinsic,central,,,,AOTU007,AOTUv3_dorsal,right,
720575940632384156,intrinsic,central,CX,columnar,,"FS1A,FS1B",DM2_CX_d1,left,
720575940649577337,intrinsic,central,,,,aMe24,putative_primary,left,
720575940627486485,intrinsic,central,,,,,SMPad3,right,
720575940616709593,intrinsic,central,,,,CRE019,CREa2_ventral,right,
720575940627463665,intrinsic,central,,,CB2328,,SMPad3,right,
720575940639778904,intrinsic,central,,,,SMP529,putative_primary,right,
720575940634833806,intrinsic,central,CX,columnar,,"FS1A,FS1B",DM1_CX_d2,right,
720575940650635641,intrinsic,central,,,,SMP373,DM6_dorso_lateral,left,
720575940625349925,intrinsic,central,,,,SMP155,putative_primary,right,
720575940634412407,intrinsic,central,,,SMP520a,SMP520,DM3_dorso_medial,left,
720575940626675185,intrinsic,central,,,,SMP124,SMPad3,left,
720575940627468273,intrinsic,central,,,CB1060,,VLPd&p1_posterior,right,
720575940620975040,intrinsic,central,,,,ATL030,DM1_antero_ventral,right,
720575940615105711,intrinsic,central,,,CB1062,,SMPad3,left,
720575940629050234,intrinsic,central,,,,SMP058,putative_primary,right,
720575940633292113,intrinsic,visual_projection,,,,aMe26,,right,
720575940615886534,intrinsic,central,LHCENT,,,LHCENT6,primary,right,
720575940604088288,intrinsic,central,,,,AVLP016,putative_primary,right,
720575940612772077,intrinsic,central,CX,tangential,CB.FB5D7,"FB5D,FB5E",AOTUv4_ventral,right,
720575940627820026,intrinsic,central,,,CB1396,,SMPp&v1_posterior,right,
720575940613870242,intrinsic,central,,,,VES045,putative_primary,right,
720575940621913897,intrinsic,central,Kenyon_Cell,,KCapbp-m,KCab-m,MBp1,right,
720575940620354836,efferent,descending,,,DNp14,SMP585,putative_primary,right,CV
720575940631808569,intrinsic,central,,,,CRE072,DL1_dorsal,right,
720575940605792946,intrinsic,central,Kenyon_Cell,,,KCg-d,MBp3,right,
720575940634468463,intrinsic,central,Kenyon_Cell,,,KCg-d,MBp1,right,
720575940615775574,intrinsic,central,,,,SMP046,SLPav2,right,
720575940625721610,intrinsic,central,,,CB1234,,FLAa3,right,
720575940616419701,intrinsic,central,,,LHPV10a1a,LHPV10a1,DM4_dorsal,right,
720575940605105696,intrinsic,central,,,SLP212b,SLP212,putative_primary,right,
720575940612105139,intrinsic,central,,,,SIP076,DM6_dorso_lateral,left,
720575940633597876,intrinsic,central,,,SMP328a,SMP328,DM3_dorso_lateral,right,
720575940630480581,intrinsic,central,,,,SMP112,CREa2_ventral,right,
720575940621005044,intrinsic,central,Kenyon_Cell,,KCab,KCab-s,MBp3,right,
720575940607632579,efferent,descending,,,DNpe047,SMP478,SMPpv1,left,CV
720575940630620207,intrinsic,central,,,CB1814,,LB5,left,
720575940631226363,intrinsic,central,,,,PLP216,putative_primary,left,
720575940641355739,intrinsic,central,Kenyon_Cell,,KCapbp-m,KCab-m,MBp4,right,
720575940623943572,intrinsic,central,Kenyon_Cell,,KCab,KCab-s,MBp4,right,
720575940622666890,intrinsic,central,,,CB1831,,DM6_dorso_lateral,right,
720575940641386203,intrinsic,central,,,,SMP081,SMPad1,left,
720575940619766869,intrinsic,central,,,,,SMPad3,left,
720575940624875018,intrinsic,central,,,CB1533,,LHp2,right,
720575940633168711,intrinsic,central,,,CB1408,,SMPp&v1_posterior,left,
720575940627126727,intrinsic,central,,,CB3272,,DM2_central,right,
720575940619902117,intrinsic,central,,,CB3248,,LHp2,right,
720575940613540767,intrinsic,central,Kenyon_Cell,,KCab,KCab-s,MBp4,right,
720575940615014184,intrinsic,central,,,CB1149,,SLPad1_posterior,right,
720575940607507157,intrinsic,central,,,CB1443,,SLPpm2,right,
720575940607351747,intrinsic,central,Kenyon_Cell,,KCab,KCab-s,MBp2,right,
720575940610140378,intrinsic,central,Kenyon_Cell,,KCab,KCab-s,MBp2,right,
720575940612876962,intrinsic,central,CX,columnar,,FS3,DM4_CX_d2,right,
720575940625218173,intrinsic,central,,,,CL006,AOTUv4_dorsal,right,
720575940632416668,intrinsic,central,,,CB1128,,EBa1,right,
720575940615885766,intrinsic,central,,,LHAD1c2c,LHAD1c2,LHl2_dorsal,right,
720575940622565069,intrinsic,central,,,CB2550,,AOTUv4_dorsal,right,
720575940619684688,intrinsic,central,Kenyon_Cell,,,KCab-p,MBp4,right,
720575940630046524,intrinsic,central,,,,SMP010,SLPav2,right,
720575940620107387,intrinsic,central,,,,CL030,putative_primary,right,
720575940614620831,intrinsic,central,,,SLP024b,SLP024,SLPal1,right,
720575940621613695,intrinsic,central,,,,CRE071,putative_primary,left,
720575940625599208,intrinsic,central,,,,AOTU021,AOTUv1_medial,right,
720575940644472100,intrinsic,central,Kenyon_Cell,,KCapbp-ap1,KCab-ap1,MBp1,right,
720575940610411726,intrinsic,central,,,CB3637,,DM6_dorso_lateral,right,
720575940643497632,intrinsic,central,Kenyon_Cell,,KCapbp-m,KCab-m,MBp4,right,
720575940622351999,intrinsic,central,CX,columnar,,FS2,DM4_CX_d2,right,
720575940613018786,intrinsic,visual_centrifugal,,,cM18,PS134,DM1_posterior,right,
720575940638900469,intrinsic,central,,,CB3413,,FLAa2,left,
720575940637595507,intrinsic,central,Kenyon_Cell,,KCab,KCab-m,MBp1,right,
720575940626859283,efferent,descending,,,DNp60,CL139,SMPpv2_dorsal,right,CV
720575940614789791,intrinsic,central,,,,SMP568,VLPl&p1_posterior,left,
720575940609405646,intrinsic,central,Kenyon_Cell,,KCab,KCab-c,MBp1,right,
720575940607041154,intrinsic,central,,,,WEDPN3,WEDa2,right,
720575940633466524,intrinsic,central,Kenyon_Cell,,KCapbp-m,KCab-m,MBp3,right,
720575940640316981,intrinsic,central,,,,SMP381,DM6_dorso_lateral,right,
720575940606746034,intrinsic,central,,,CB0532,,putative_primary,left,
720575940644327022,intrinsic,central,,,CB2367,,FLAa2,right,
720575940646518382,intrinsic,central,,,,pC1d,DM4_dorsal,left,
720575940609936882,intrinsic,central,,,CB0269,,DM3_dorso_medial,right,
720575940636991856,intrinsic,central,Kenyon_Cell,,KCapbp-ap2,KCab-ap2,MBp1,right,
720575940631488839,intrinsic,central,,,CB3446,,FLAa2,right,
720575940626160668,intrinsic,central,,,CB1967,,SMPad3,right,
720575940621056982,intrinsic,central,,,CB3691,,WEDd2,left,
